epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4978,2.6251,4.34312,1.98627,0.00359,0.54348,0.14854,0.03546,2.67402,4.51664,1.75773,0.00021671,0.00021671,0.00021671
2,54.3519,2.24239,3.34008,1.53167,0.00563,0.82609,0.17106,0.04285,2.73996,4.35255,1.65655,0.000445634,0.000445634,0.000445634
3,82.3176,2.02999,2.78925,1.42815,0.00541,0.76087,0.47563,0.11549,2.03219,3.70522,1.5425,0.000669937,0.000669937,0.000669937
4,109.046,2.12463,2.73878,1.57662,0.00674,0.93478,0.5309,0.1676,2.01911,3.44238,1.53755,0.00088962,0.00088962,0.00088962
5,135.57,2.05062,2.69169,1.57178,0.17267,0.32609,0.18459,0.06328,2.04139,3.61731,1.69478,0.00110468,0.00110468,0.00110468
6,162.227,2.04703,2.74236,1.65503,1,0.08004,0.20766,0.0781,2.04541,3.70035,2.03761,0.00131512,0.00131512,0.00131512
7,189.136,2.0695,2.43342,1.70524,0.48689,0.32609,0.35122,0.12805,2.13054,3.46101,1.96492,0.00152094,0.00152094,0.00152094
8,216.085,1.99574,2.35232,1.59829,0.47743,0.56522,0.51458,0.20002,2.0694,2.86084,1.85033,0.00155148,0.00155148,0.00155148
9,242.703,2.00949,2.26831,1.59724,0.60441,0.63069,0.65479,0.27217,2.11103,2.6827,1.69033,0.00153497,0.00153497,0.00153497
10,268.975,1.92171,2.38225,1.53536,0.81922,0.32609,0.49869,0.15399,2.5985,3.06989,1.96624,0.00151847,0.00151847,0.00151847
11,295.59,1.96687,2.27727,1.603,0.50301,0.67391,0.59385,0.22667,2.19042,2.58198,1.77971,0.00150197,0.00150197,0.00150197
12,322.664,1.90545,2.32546,1.58612,0.64218,0.6087,0.6386,0.28201,2.1064,2.49358,1.75788,0.00148546,0.00148546,0.00148546
13,348.465,1.91311,2.17998,1.59025,0.58129,0.77009,0.75009,0.29729,2.11406,2.10064,1.83947,0.00146896,0.00146896,0.00146896
14,374.104,1.88502,2.0724,1.54227,0.78172,0.59915,0.74697,0.26055,2.15274,2.10656,1.83555,0.00145246,0.00145246,0.00145246
15,399.634,1.86104,2.09031,1.56719,0.60804,0.74467,0.74379,0.25009,2.16672,2.39603,1.78636,0.00143595,0.00143595,0.00143595
16,420.549,1.84196,2.00909,1.51972,0.75325,0.69123,0.78771,0.23988,2.30662,2.21866,1.76209,0.00141945,0.00141945,0.00141945
17,441.434,1.76482,1.95862,1.51307,0.81208,0.76087,0.82213,0.32486,2.10074,1.88657,1.71899,0.00140295,0.00140295,0.00140295
18,462.3,1.73798,1.74735,1.42577,0.76642,0.84783,0.86983,0.33297,2.12186,1.92565,1.77718,0.00138644,0.00138644,0.00138644
19,483.049,1.65743,1.78189,1.40162,0.77532,0.81556,0.8402,0.34364,2.07348,2.02089,1.787,0.00136994,0.00136994,0.00136994
20,503.481,1.71891,1.81547,1.43054,0.65765,0.71605,0.69616,0.26506,2.09792,2.01592,1.76536,0.00135344,0.00135344,0.00135344
21,523.928,1.70376,1.78962,1.46517,0.70144,0.82609,0.76076,0.3116,1.90951,1.80965,1.63152,0.00133693,0.00133693,0.00133693
22,544.294,1.71384,1.61057,1.453,0.76755,0.8308,0.84011,0.34859,1.91584,1.76856,1.685,0.00132043,0.00132043,0.00132043
23,564.341,1.71774,1.73495,1.44027,0.75883,0.86957,0.88442,0.31484,1.98618,1.78963,1.7504,0.00130393,0.00130393,0.00130393
24,584.837,1.72353,1.58625,1.39799,0.70366,0.87028,0.84425,0.38133,1.92015,1.66562,1.65126,0.00128742,0.00128742,0.00128742
25,605.257,1.87885,1.70277,1.54437,0.74475,0.86957,0.83617,0.38247,1.9207,1.69736,1.6228,0.00127092,0.00127092,0.00127092
26,625.308,1.69976,1.71426,1.41877,0.75151,0.87124,0.90585,0.4099,1.90719,1.66903,1.59404,0.00125442,0.00125442,0.00125442
27,645.786,1.6284,1.54084,1.3613,0.73347,0.84783,0.8714,0.39546,1.90679,1.72658,1.59233,0.00123791,0.00123791,0.00123791
28,666.056,1.65567,1.63916,1.41381,0.63359,0.6087,0.74487,0.31442,1.94091,2.02941,1.66074,0.00122141,0.00122141,0.00122141
29,686.62,1.67423,1.58106,1.40102,0.74047,0.70147,0.76574,0.34834,1.89915,1.88029,1.64486,0.00120491,0.00120491,0.00120491
30,707.653,1.6936,1.53354,1.40805,0.71674,0.78281,0.83689,0.34951,1.9116,1.76619,1.66918,0.0011884,0.0011884,0.0011884
31,727.918,1.66056,1.32725,1.42763,0.69844,0.82329,0.8066,0.35424,1.88522,1.67101,1.67559,0.0011719,0.0011719,0.0011719
32,748.301,1.63054,1.40573,1.40752,0.69479,0.80435,0.7378,0.3055,1.99213,1.6536,1.76967,0.0011554,0.0011554,0.0011554
33,768.365,1.75826,1.53988,1.50513,0.79319,0.78261,0.86326,0.34888,1.92824,1.60828,1.69261,0.00113889,0.00113889,0.00113889
34,788.863,1.67024,1.46004,1.42296,0.73601,0.8023,0.82887,0.36373,1.9533,1.57238,1.70734,0.00112239,0.00112239,0.00112239
35,808.565,1.58339,1.3949,1.35333,0.78337,0.76087,0.84092,0.37243,1.86237,1.55215,1.6647,0.00110589,0.00110589,0.00110589
36,828.077,1.57253,1.46036,1.38906,0.80346,0.8076,0.85662,0.38655,1.87102,1.53607,1.67036,0.00108938,0.00108938,0.00108938
37,848.412,1.61358,1.27115,1.35555,0.91411,0.73913,0.89423,0.39765,1.87103,1.49123,1.64284,0.00107288,0.00107288,0.00107288
38,868.913,1.49551,1.21796,1.29664,0.87634,0.79062,0.91109,0.41467,1.91921,1.45838,1.6648,0.00105638,0.00105638,0.00105638
39,889.059,1.64619,1.35701,1.38006,0.87955,0.82497,0.91381,0.40703,1.9765,1.3849,1.7011,0.00103987,0.00103987,0.00103987
40,909.391,1.68017,1.36244,1.42692,0.82035,0.86288,0.92783,0.40313,2.01136,1.4111,1.67211,0.00102337,0.00102337,0.00102337
41,929.607,1.67534,1.3999,1.4113,0.8181,0.84783,0.90858,0.42663,1.97213,1.3374,1.64249,0.00100687,0.00100687,0.00100687
42,949.706,1.59643,1.34535,1.34241,0.76678,0.90104,0.90326,0.43743,1.85819,1.32338,1.56899,0.000990365,0.000990365,0.000990365
43,970.055,1.54376,1.29435,1.32245,0.78618,0.91304,0.90992,0.44452,1.78624,1.35405,1.49436,0.000973861,0.000973861,0.000973861
44,1010.57,1.51228,1.22665,1.3201,0.8162,0.8913,0.90476,0.44784,1.77955,1.33724,1.50318,0.000957358,0.000957358,0.000957358
45,1032.94,1.52966,1.31413,1.30587,0.77595,0.8959,0.89297,0.41604,1.85622,1.39574,1.54924,0.000940855,0.000940855,0.000940855
46,1052.62,1.53217,1.26546,1.27257,0.81739,0.82257,0.88046,0.40862,1.82377,1.37815,1.55538,0.000924352,0.000924352,0.000924352
47,1072.93,1.50343,1.23048,1.29969,0.83603,0.83715,0.91794,0.41482,1.87422,1.36924,1.59865,0.000907848,0.000907848,0.000907848
48,1093.03,1.56467,1.22109,1.31303,0.85663,0.77966,0.88307,0.39098,1.91376,1.39967,1.62421,0.000891345,0.000891345,0.000891345
49,1113.23,1.63933,1.17918,1.33686,0.83327,0.7649,0.88778,0.3965,1.89627,1.40674,1.61939,0.000874842,0.000874842,0.000874842
